account id,product code,opening date,reporting period,period balance,£ withdrawal,£ receipt,£ internal transfer,interest rate,account tenure (months)
P001-2023-06-0007,P001,2023-06-11,2025-07,1422.67,87.8,112.29,39.59,0.03099,26
P001-2023-06-0007,P001,2023-06-11,2025-08,1242.6,221.03,67.31,26.34,0.03239,27
P001-2023-06-0007,P001,2023-06-11,2025-09,1203.3,56.3,40.71,23.72,0.03491,28
P001-2023-06-0009,P001,2023-06-11,2025-07,2124.56,85.33,131.44,19.72,0.03063,26
P001-2023-06-0009,P001,2023-06-11,2025-08,2131.35,122.54,146.39,17.06,0.03337,27
P001-2023-06-0009,P001,2023-06-11,2025-09,2053.05,69.51,17.36,26.15,0.03131,28
P001-2023-06-0011,P001,2023-06-12,2025-07,3529.55,46.48,128.6,69.18,0.02658,26
P001-2023-06-0011,P001,2023-06-12,2025-08,3543.98,134.96,162.5,13.11,0.02961,27
P001-2023-06-0011,P001,2023-06-12,2025-09,3576.82,161.37,265.06,70.86,0.03188,28
P001-2023-06-0016,P001,2023-06-16,2025-07,4656.98,0.0,193.56,55.9,0.03052,26
P001-2023-06-0016,P001,2023-06-16,2025-08,4405.91,422.61,210.48,38.93,0.03064,27
P001-2023-06-0016,P001,2023-06-16,2025-09,4389.24,249.4,232.72,0.0,0.02517,28
P001-2023-06-0017,P001,2023-06-16,2025-07,7326.47,663.39,308.93,0.0,0.03024,26
P001-2023-06-0017,P001,2023-06-16,2025-08,7385.44,193.79,297.85,45.09,0.02589,27
P001-2023-06-0017,P001,2023-06-16,2025-09,7214.72,376.8,329.58,123.49,0.03008,28
P001-2023-06-0019,P001,2023-06-02,2025-07,3463.14,232.69,88.13,33.87,0.03204,26
P001-2023-06-0019,P001,2023-06-02,2025-08,3599.06,0.0,177.67,41.75,0.02758,27
P001-2023-06-0019,P001,2023-06-02,2025-09,3398.65,287.15,108.44,21.71,0.03592,28
P001-2023-06-0024,P001,2023-06-24,2025-07,1250.0,79.05,37.82,37.5,0.03832,26
P001-2023-06-0024,P001,2023-06-24,2025-08,1186.23,78.84,24.54,9.47,0.03508,27
P001-2023-06-0024,P001,2023-06-24,2025-09,1123.31,106.6,54.01,10.32,0.02905,28
P001-2023-06-0027,P001,2023-06-26,2025-07,3326.56,359.86,232.08,6.34,0.03153,26
P001-2023-06-0027,P001,2023-06-26,2025-08,3166.53,194.04,67.45,33.44,0.03227,27
P001-2023-06-0027,P001,2023-06-26,2025-09,3049.97,169.67,105.81,52.7,0.03562,28
P001-2023-06-0028,P001,2023-06-23,2025-07,2713.23,14.64,71.35,75.19,0.03037,26
P001-2023-06-0028,P001,2023-06-23,2025-08,2644.04,209.74,161.04,20.5,0.03431,27
P001-2023-06-0028,P001,2023-06-23,2025-09,2672.21,202.74,245.09,14.18,0.03072,28
P001-2023-06-0031,P001,2023-06-25,2025-07,599.55,34.98,15.12,2.42,0.02797,26
P001-2023-06-0031,P001,2023-06-25,2025-08,602.06,32.45,42.51,7.55,0.03173,27
P001-2023-06-0031,P001,2023-06-25,2025-09,556.55,64.77,26.62,7.36,0.03066,28
P001-2023-07-0001,P001,2023-07-07,2025-07,7126.16,179.3,409.87,148.9,0.03422,25
P001-2023-07-0001,P001,2023-07-07,2025-08,6821.46,531.28,321.85,95.27,0.03278,26
P001-2023-07-0001,P001,2023-07-07,2025-09,6619.39,447.32,391.87,146.62,0.02795,27
P001-2023-07-0005,P001,2023-07-17,2025-07,530.01,47.65,36.58,11.5,0.03492,25
P001-2023-07-0005,P001,2023-07-17,2025-08,524.13,28.03,22.15,0.0,0.0328,26
P001-2023-07-0005,P001,2023-07-17,2025-09,488.5,54.1,23.5,5.02,0.03115,27
P001-2023-07-0007,P001,2023-07-19,2025-07,1874.16,53.95,58.76,24.0,0.03241,25
P001-2023-07-0007,P001,2023-07-19,2025-08,1827.01,188.36,173.42,32.2,0.03328,26
P001-2023-07-0007,P001,2023-07-19,2025-09,1668.0,179.93,24.76,3.84,0.02618,27
P001-2023-07-0010,P001,2023-07-05,2025-07,1059.28,27.96,2.8,11.07,0.03227,25
P001-2023-07-0010,P001,2023-07-05,2025-08,989.66,86.25,16.64,0.0,0.03318,26
P001-2023-07-0011,P001,2023-07-02,2025-07,2318.14,61.73,64.74,33.82,0.02958,25
P001-2023-07-0011,P001,2023-07-02,2025-08,2340.72,67.17,105.87,16.11,0.02928,26
P001-2023-07-0011,P001,2023-07-02,2025-09,2173.43,211.48,61.85,17.66,0.03381,27
P001-2023-07-0027,P001,2023-07-01,2025-07,1552.18,81.36,28.97,21.79,0.03077,25
P001-2023-07-0027,P001,2023-07-01,2025-08,1636.38,0.0,92.79,8.59,0.02776,26
P001-2023-07-0027,P001,2023-07-01,2025-09,1562.02,153.5,83.84,4.71,0.03244,27
P001-2023-07-0030,P001,2023-07-12,2025-07,3611.02,116.6,116.81,113.97,0.03172,25
P001-2023-07-0030,P001,2023-07-12,2025-08,3815.95,28.08,245.08,12.06,0.03835,26
P001-2023-07-0030,P001,2023-07-12,2025-09,3392.03,571.96,148.04,0.0,0.03176,27
P001-2023-07-0032,P001,2023-07-08,2025-07,2872.05,274.78,91.68,73.87,0.03586,25
P001-2023-07-0032,P001,2023-07-08,2025-08,2891.96,150.03,169.94,0.0,0.03384,26
P001-2023-07-0032,P001,2023-07-08,2025-09,2777.67,170.04,105.36,49.61,0.0284,27
P001-2023-07-0033,P001,2023-07-16,2025-07,3817.55,270.51,230.48,0.0,0.03714,25
P001-2023-07-0033,P001,2023-07-16,2025-08,3824.9,156.58,195.5,31.57,0.03153,26
P001-2023-07-0033,P001,2023-07-16,2025-09,3852.63,163.03,190.76,0.0,0.03274,27
P001-2023-07-0039,P001,2023-07-14,2025-07,7877.14,464.75,474.98,53.49,0.02947,25
P001-2023-07-0039,P001,2023-07-14,2025-08,7828.92,545.27,589.57,92.53,0.03032,26
P001-2023-07-0039,P001,2023-07-14,2025-09,7989.16,300.38,517.49,56.87,0.03934,27
P001-2023-07-0040,P001,2023-07-10,2025-07,2913.08,170.5,81.11,30.64,0.03468,25
P001-2023-07-0040,P001,2023-07-10,2025-08,2951.64,161.1,221.88,22.21,0.0317,26
P001-2023-07-0040,P001,2023-07-10,2025-09,2815.36,130.11,56.86,63.04,0.02805,27
P001-2023-07-0042,P001,2023-07-01,2025-07,2231.67,114.33,105.18,30.24,0.0344,25
P001-2023-07-0045,P001,2023-07-26,2025-07,2347.67,122.75,74.97,47.63,0.03113,25
P001-2023-07-0045,P001,2023-07-26,2025-08,2124.73,254.64,31.69,0.0,0.03721,26
P001-2023-07-0045,P001,2023-07-26,2025-09,1963.43,178.56,70.38,53.11,0.03053,27
P001-2023-08-0004,P001,2023-08-10,2025-07,3536.96,45.95,142.75,53.95,0.03575,24
P001-2023-08-0004,P001,2023-08-10,2025-08,3213.62,323.76,98.6,98.18,0.03662,25
P001-2023-08-0004,P001,2023-08-10,2025-09,3216.16,110.16,153.52,40.82,0.03142,26
P001-2023-08-0005,P001,2023-08-09,2025-07,1659.56,79.59,37.76,33.37,0.03443,24
P001-2023-08-0005,P001,2023-08-09,2025-08,1644.53,62.12,58.81,11.72,0.02804,25
P001-2023-08-0005,P001,2023-08-09,2025-09,1559.9,125.77,60.87,19.74,0.03264,26
P001-2023-08-0008,P001,2023-08-20,2025-07,2803.78,218.26,85.52,29.24,0.03392,24
P001-2023-08-0008,P001,2023-08-20,2025-08,2605.88,281.31,110.89,27.49,0.03169,25
P001-2023-08-0008,P001,2023-08-20,2025-09,2673.04,16.68,139.0,55.16,0.03482,26
P001-2023-08-0013,P001,2023-08-07,2025-07,1801.07,122.05,107.1,20.79,0.03483,24
P001-2023-08-0013,P001,2023-08-07,2025-08,1740.34,119.09,91.54,33.19,0.03291,25
P001-2023-08-0013,P001,2023-08-07,2025-09,1596.94,118.87,21.45,45.98,0.03161,26
P001-2023-08-0021,P001,2023-08-01,2025-07,5544.46,545.74,241.61,138.24,0.03217,24
P001-2023-08-0021,P001,2023-08-01,2025-08,5160.08,460.3,99.63,23.7,0.03445,25
P001-2023-08-0021,P001,2023-08-01,2025-09,5044.57,337.63,350.93,128.82,0.03144,26
P001-2023-08-0023,P001,2023-08-05,2025-07,542.77,42.26,19.48,15.34,0.02387,24
P001-2023-08-0023,P001,2023-08-05,2025-08,539.94,7.07,17.91,13.68,0.02791,25
P001-2023-08-0023,P001,2023-08-05,2025-09,496.63,54.76,23.39,11.94,0.03305,26
