account id,product code,opening date,reporting period,period balance,£ withdrawal,£ receipt,£ internal transfer,interest rate,account tenure (months)
P001-2023-06-0000,P001,2023-06-04,2023-06,5427.06,349.76,412.43,108.51,0.03284,1
P001-2023-06-0000,P001,2023-06-04,2023-07,5162.06,207.55,112.33,169.78,0.02845,2
P001-2023-06-0000,P001,2023-06-04,2023-08,4749.84,453.99,113.26,71.49,0.03452,3
P001-2023-06-0000,P001,2023-06-04,2023-09,4503.19,348.55,127.79,25.89,0.03188,4
P001-2023-06-0000,P001,2023-06-04,2023-10,4163.1,483.52,195.67,52.24,0.02817,5
P001-2023-06-0000,P001,2023-06-04,2023-11,4136.66,277.19,275.26,24.52,0.03286,6
P001-2023-06-0000,P001,2023-06-04,2023-12,4158.25,270.94,292.52,0.0,0.03329,7
P001-2023-06-0000,P001,2023-06-04,2024-01,4215.17,227.1,309.68,25.65,0.03695,8
P001-2023-06-0000,P001,2023-06-04,2024-02,3948.57,334.26,93.18,25.52,0.02868,9
P001-2023-06-0000,P001,2023-06-04,2024-03,3686.47,403.64,184.6,43.06,0.03151,10
P001-2023-06-0000,P001,2023-06-04,2024-04,3702.41,127.93,143.87,0.0,0.02585,11
P001-2023-06-0000,P001,2023-06-04,2024-05,3805.35,74.82,215.92,38.16,0.031,12
P001-2023-06-0000,P001,2023-06-04,2024-06,3653.59,190.91,115.37,76.21,0.03347,13
P001-2023-06-0000,P001,2023-06-04,2024-07,3617.15,142.93,134.85,28.36,0.03601,14
P001-2023-06-0000,P001,2023-06-04,2024-08,3412.11,226.85,66.24,44.43,0.03253,15
P001-2023-06-0000,P001,2023-06-04,2024-09,3315.06,175.31,78.26,0.0,0.03763,16
P001-2023-06-0000,P001,2023-06-04,2024-10,3389.75,126.39,212.55,11.47,0.03295,17
P001-2023-06-0000,P001,2023-06-04,2024-11,3299.59,149.54,63.56,4.17,0.03151,18
P001-2023-06-0000,P001,2023-06-04,2024-12,2926.02,408.75,35.17,0.0,0.02673,19
P001-2023-06-0000,P001,2023-06-04,2025-01,3121.86,72.72,287.05,18.49,0.03751,20
P001-2023-06-0000,P001,2023-06-04,2025-02,2965.29,164.34,63.26,55.49,0.03719,21
P001-2023-06-0000,P001,2023-06-04,2025-03,2997.77,55.61,110.68,22.59,0.03087,22
P001-2023-06-0001,P001,2023-06-08,2023-06,5241.6,415.83,162.04,112.88,0.0327,1
P001-2023-06-0001,P001,2023-06-08,2023-07,5127.74,314.51,215.24,14.59,0.03306,2
P001-2023-06-0001,P001,2023-06-08,2023-08,4926.75,549.7,419.77,71.06,0.03171,3
P001-2023-06-0001,P001,2023-06-08,2023-09,4833.83,334.44,314.44,72.92,0.02866,4
P001-2023-06-0001,P001,2023-06-08,2023-10,4916.57,129.0,237.28,25.55,0.03478,5
